,title of product,star ratings on Amazon,number of reviews on Amazon,rank on Amazon best selling iced tea,prices of items on Amazon,number of items per pack,number of packs,total number of items,drink container of item,Material of drink item,width (cm) of item,height (cm) of item,depth (cm) of item,weight (kg) of item,total volume (ml) of item,volume per bottle (ml) of item,caffeine in item,caffeine description,caffeine mg per bottle,country of origin of item,Additives in item,Additive contents in item,Storage Instructions of item,preservatives in item,energy (kcal) in item,Fat (g) in item,Protein (g) in item,Salt (g) in item,Sodium (g) in item,Reviews title of prices that are positive,Reviews contents of prices that are positive,Reviews title of prices that are critical,Reviews contents of prices that are critical
0,"Lipton Ice Tea Lemon Soft Drink 500ml, (Pack of 12)",4.7 out of 5 stars,"2,521",#1,£15.00,12,1,12,bottle,plastic,27,23,19,6.45,6000,500,no,,,UK,Yes,"?Acid (Citric Acid), Acidity Regulator (Trisodium Citrate), Antioxidant (Ascorbic Acid), Sweetener (Steviol Glycosides).",?Refrigerate after opening and drink within 5 days.,no,19.36,0.5,0.5,0.03,0.01,"Refreshing,  Same price as retail outlet, J'adore, Great Product, Good Product for the price,  Tastes amazing! Great value for money, the best iced tea, good taste, lovely taste, same price as shops, 
5.0 out of 5 stars Lemon-Original & the Best, Cooling tea, Refreshing drink, 5.0 out of 5 stars Convenient multipack at fair price,  Purfect accompanyment, Nice flavour, Five Stars, Five Stars, Great Buy, Good Seller, Great Taste, Great Drinks","Great taste and really refreshing, priced pretty good will definitely be buying again; Good flavour but no cheaper than supermarket, My favourite flavour of Lipton iced tea at the cheapest price on Amazon, this variety is only sold at select stores mainly WHSmith in London, this is not only cheaper but you can have it delivered where you are. The best green ice tea on the market with the Lipton brand you love and some cool flavours.; I love these Lipton ice teas - they help me get off diet coke which I was getting addicted to. Great taste and for a great price.;  No issues at all excellent product for the price and prompt delivery is always a bonus - makes an excellent change for a drink during lockdown and WFH; Boyfriend is in love with this juice.
Would drink the whole lot in a day.
Great flavour, good design & well priced.
All round just great.
Always arrived in good shape too, nothing damaged or leaking.; My favourite drink, icey straight from the fridge. Good price point of �10 for 12. Please dont go up!; volume for price; I love this product great price; Bulk nxt day delivery is what I like, pre lockdown; i love this drink. not a lot of places in the UK sell it, not even the supermarkets. even though its very popular in Europe i cant find it here in the UK..

thats why im so happy that Amazon sell it. for a good price too; great in the hot weather with ice.cooling.lemon taste.delicouse and thirst quenching.cant get this where I live .RECOMMEND

ASHAME AMAZON BUCKED UP THE PRICE PER PACK OF TWELVE BY AN EXTRA �4.00; Love this drink and at a good price; My kids like this stuff and it's not fizzy which I like for them. Can't seem to buy it in bulk anywhere so good on Amazon!; Excellent flavour and price. Didn't last very long coz the kids found it and liked it too !; Love ice tea but this really is the best flavour, it's hard to come across this flavour and the green tea flavour in the shops but it's a good price for 12 delivered to your door.; the taste is really nice and the price is cheap.; very nice and low price and fast delivery; If you like Ice tea, this is one of the best out there, well priced and well packed for delivery.; Very pleased have. not had this flaovour before very good .
Very good price.; Good price; Great product with a great taste also great company and also a great price.; A tasty drink that we can't seem to find in any of the supermarkets near us. They're a good price for the number you get in the pack and it's really helpful that they come with Prime delivery too.","2.0 out of 5 stars WAY Too Expensive, Ridiculous Price, Disgusting,  Blatant profiteering,  ","I had a dumb moment and ordered without checking the volume size. I thought at that price I was ordering 12 large bottles, until they arrived and now I feel ripped off. �17 for 12 small bottles?! The large bottles are �1.50 in the shops, 12 LARGE BOTTLES make roughly the same price as these 12 small bottles.; Product is a reasonable price and came quickly but on opening it had been packed with 11 bottles not 12 as stated. The plastic wrap had been broken and one taken out ( the outer box not damaged so happened at packing stage). Remaining bottles are fine and the peach iced tea is lovely.; till don't think you realize how ridiculous the pricing is on these Mango tea products.; 2 of the bottles had floaty bits inside it. They looked like plastic waste in the ocean, absolutely disgusting. Although this is only 2 of 12 bottles, its still unacceptable since this price isn't exactly very cheap.; Love the taste but the delivery was very late and each bottle had a recommended retail price of �1:09 printed on it while the supplier charged �16:99 for 12, (�1.416 per bottle), I actually think this is illegal, I certainly won�t be buying from them again."
1,"Lipton Iced Tea ,Natural Lemon, Sweetened Iced Tea Powder ,Lemon Flavoured, Powdered Drink Mix- Makes 10 Quarts - Net Weight, 670g",4.6 out of 5 stars,"2,816",#2,£6.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lipton Iced Tea Peach Drink Mix Makes 10 Quarts 670g Tub,4.3 out of 5 stars,989,#3,£8.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Lipton Ice Tea, Peach, 1.25L",4.8 out of 5 stars,"1,229",#4,£1.50,1,0,1,bottle,plastic,29,8.4,8.2,1.25,,1250,n/a,,,UK,Yes,"?Acids (Malic Acid, Citric Acid), Antioxidant (Ascorbic Acid), Acidity Regulator (Trisodium Citrate), Sweetener (Steviol Glycosides).","	?Refrigerate after opening and drink within 5 days.",no,19.6,0.5,0.5,,,"Value for money, refreshing and nice when served cold,  Good price, ??, 5.0 out of 5 stars Just ordered more!, 5.0 out of 5 stars Great value while on special offer, 
5.0 out of 5 stars Nice and refreshing, Good for price, Great price!,  Expensive,  Good for price, 5*, Great Refreshing Taste","The price was right. Great with Inspire food popping boba.; love this drink, especially when cold over ice. cant beat it at this price too.; I like the product; I love iced tea and get it often so finding a bigger bottle to get in was just what I needed and is a good size for the price; A great drink for a great price, can�t complain!; My daughter loves this so bought on offer for �1 for the 1L bottle which worked out even cheaper that the small bottles you get in shops. Dont think I would pay full price though.; This is a good quality iced tea. You can taste the peach but it's not overpowering. Good price too.; Daughter first time trying this flavour and she enjoyed it; A huge fan of Liptons ice tea, although it's getting impossible to buy it anywhere! This is the cheapest I have found it on Internet. Arrived really quickly.; My favorite drink but is rare to find an affordable price.; My daughter loves this; Great taste great price; I recommend everyone try this really refreshing drink. I love to have it ice cold with a straw, reminds my of holidays in Greece.
Brilliant price and next day delivery from Amazon Prime.",n/a,n/a
4,"Harry Brompton's London Ice Tea. Made with Real Black Tea and Peach Juice. 70 Calories, No Artificial Sweeteners, Antioxidant-Rich and High in Vitamin C. 500ml (Pack of 12).",4.3 out of 5 stars,224,#5,£13.99,12,1,12,bottle,plastic,26.6,20,19.2,6.4,6000,500,yes,,,UK,n/a,n/a,?store in a cool dry place,no,,,,,," Great taste and price, Refreshing","Just received it today. Tried this tea before and got in love with it. 12 bottles of 500ml each for �14 is worth it. Will buy more in the future.; Perfect balance not to sweet.
Better than a big brand we all know
Pricing is very resonable to
10/10","Great taste, poor value - thought I was buying 12x1L like Sainsburys sell at same price not 12x500ml,  Revolving Lids!, Premium Tea, ","I like the taste but a 12pack from the manufacturer should be cheaper than you can buy it at the corner shop in singles. Sainsburys sell the 1L at this price, thought that is what I was buying :(; Lovely, refreshing flavour - better than Lipton - however, disappointingly faulty lids that several times failed to open properly. Had to resort to a sharp knife to cut the plastic lugs, often resulting in spilled beverage. This is priced as a premium product, so the packaging disappoints.; It is a premium product compared to other brands such as Lipton and I don't think the taste is much better to warrant the extra price. It is your standard bottled iced tea at a premium pricing.

I also think the bottles are less durable and poorer quality than other products on the market including Lipton which is a firmer, solid plastic.

The taste is A-OK, the price is premium and the product looks cheap."
5,Lipton Iced Tea Raspberry Powder Drink Mix 670 gm Tub Makes 10 Quarts,4.5 out of 5 stars,877,#6,£7.33,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Lipton Ice Tea Peach Still Soft Drink 500ml, (Pack of 12)",4.7 out of 5 stars,958,#7,£14.98,12,1,12,bottle,plastic,340.8,254.4,295.2,6.29,6000,500,yes,,20,UK,Yes,"?Acids (Malic Acid, Citric Acid), Antioxidant (Ascorbic Acid), Acidity Regulator (Trisodium Citrate), Sweetener (Steviol Glycosides).","	?store in a cool dry place",no,,,0.5,,,"4.0 out of 5 stars Addictive iced tea, Wow, Great!, Five Stars, Tasty,  Very quick delivery..,  Lovely cool refreshing drink, Simply the Best, 
5.0 out of 5 stars Delicious","I've tried many brands of iced tea and Liptons is always the best. All of their flavoured iced tea has a nice flavour blend of sweet tea and real fruit and this raspberry variety is no exception. The raspberry flavour is close to the taste of real raspberries, with a nice sour kick to it too.
The only reason for not giving this five stars is Amazon is selling this, (with Amazon as the seller), exact same iced tea twice under two different prices. Annoyingly I bought this 12 pack from Amazon Pantry for �12.11 when it's also listed for sale by Amazon Prime for �10.; My favourite flavour Lipton Iced tea which is sadly hard to find at supermarkets - it is an incredible price too at under �7 for 12 bottles, if you buy the right quantity you can end up paying under 50p a bottle with delivery and that's fantastic value, especially compared to other flavours.; Great price, as described; Great price; Great service good price; One of my favourite flavours in the Lipton brand, however, the Amazon price is slightly more expensive with many in-store retailers selling the same quantity on multi-buy for between �0.9 and �1 each.; Bottles marked at a �1. The case of 12 cost �14. That should have been reflected in the price. No other complaints. My son is well happy with this.; Cool refreshing drink, never had raspberry before usually buy lemon, but thought I try a different one, glad i did, each bottle had a recommended retail price of 1 pound so it was in a 12 bottle pack but I paid more than 12 pound for it all, which I thought was a bit of a cheek really. With FREE PRIME DELIVERY; I really love the taste and it really quenches your thirst, the only negative thing is its not big enough for me, it should be in Litres sizes say a ten litre packs and the prices to go up to recognise the larger size, hope this helps.; Absolutely love this soft drink, so quenching! Great price & quick delivery time", Good favoured Iced Tea,"Very nice favour, very refreshing when chilled. However the price is a little high when ordering from Amazon."
7,"Bubble Tea Kit Refills - Extra Boba Pearls & Milk Tea Powder Packets For Bubble Tea Set. Instant Tapioca Pearls / Boba Balls In Brown Sugar Syrup, 3 in 1 Flavoured Milkshake Powder Drink Mix",5.0 out of 5 stars,2,#8,£20.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Teaforia Passion Fruit Iced Tea Mix (1kg). Refreshing, Fruity and Delicious. Great for Iced Tea and Bubble Tea. No Artificial Flavours or Colours and 100% Vegan",3.9 out of 5 stars,110,#9,£15.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tea Pigs Pink Grapefruit Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.1 out of 5 stars,76,#10,£3.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tea Pigs Blackcurrent and Raspberry Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.3 out of 5 stars,103,#11,£4.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tea Pigs Watermelon and Hibiscus Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.2 out of 5 stars,90,#12,£3.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Crystal Light Peach Iced Tea Drink Mix Makes 32 Quarts 129g,4.5 out of 5 stars,883,#13,£13.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Teapigs Cucumber And Apple Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.1 out of 5 stars,308,#14,£3.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Arizona Blueberry White Tea, Pack of 6 x 500ml PET Bottles, Delicious Fruity Iced Tea Drink, No Artificial Colours, No Artificial Preservatives",4.8 out of 5 stars,25,#15,£9.99,6,1,6,bottle,plastic,35,25,30,3,3000,500,yes,low caffeine,,France,n/a,n/a,?See The Packaging For More Information,no,0,0,0,0,,5.0 out of 5 stars Deliciously Refreshing,The pomegranate flavour is the best! So yum with the perfect sweetness. Price is also decent for a pack of 6. Will definitely purchase again.,,
15,Teapigs Lychee And Rose Cold Brew Tea Bags (1 Pack Of 10 Tea Bags),4.3 out of 5 stars,419,#16,£4.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,Master Kong Black Ice Tea 500mL (15 Bottles),4.6 out of 5 stars,21,#17,£28.50,15,1,15,bottle,plastic,35,22.5,21,8.47,7500,500,n/a,n/a,,China,n/a,n/a,,,,,,,, To expensive,19.99 in any chinese supermarket Not the extortionate price above!,,
17,Lipton Iced Tea Mix - Diet Decaffeinated Lemon - 3 oz,4.3 out of 5 stars,321,#18,£13.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
